"","rank","name","brewery","type","ABV","num_ratings","avg_rating"
"1","1","Kentucky Brunch Brand Stout","Toppling Goliath Brewing Company","American Imperial Stout",12,933,4.83
"2","2","Vanilla Bean Assassin","Toppling Goliath Brewing Company","American Imperial Stout",12.8,146,4.8
"3","3","O.W.K.","Side Project Brewing","American Imperial Stout",15,67,4.86
"4","4","Marshmallow Handjee","3 Floyds Brewing Co.","Russian Imperial Stout",15,1813,4.73
"5","5","Abraxas - Barrel-Aged","Perennial Artisan Ales","American Imperial Stout",11,1677,4.73
"6","6","Hunahpu's Imperial Stout - Double Barrel Aged","Cigar City Brewing","American Imperial Stout",11,1665,4.72
"7","7","Blessed","Anchorage Brewing Company","American Imperial Stout",15.5,285,4.74
"8","8","Heady Topper","The Alchemist","Imperial IPA",8,15270,4.71
"9","9","A Deal With The Devil - Triple Oak-Aged","Anchorage Brewing Company","American Barleywine",18.5,154,4.75
"10","10","Mornin' Delight","Toppling Goliath Brewing Company","American Imperial Stout",12.8,1774,4.7
"11","11","King Julius","Tree House Brewing Company","New England IPA",8.2,1630,4.7
"12","12","King JJJuliusss","Tree House Brewing Company","New England IPA",8.4,950,4.7
"13","13","Zenne Y Frontera","Brouwerij 3 Fonteinen","Lambic",7,405,4.71
"14","14","M.J.K.","Side Project Brewing","English Barleywine",20,57,4.83
"15","15","Pliny The Younger","Russian River Brewing Company","Imperial IPA",10.25,3554,4.69
"16","16","Coconut Vibes - Barrel-Aged","Shared Brewing","Russian Imperial Stout",15,83,4.78
"17","17","Barrel Aged Imperial German Chocolate Cupcake Stout","Angry Chair Brewing","American Imperial Stout",11,372,4.7
"18","18","Fundamental Observation","Bottle Logic Brewing","American Imperial Stout",13,1555,4.68
"19","19","Very Hazy","Tree House Brewing Company","New England IPA",8.6,1343,4.68
"20","20","Bourbon County Brand Coffee Stout","Goose Island Beer Co.","American Imperial Stout",13.2,7578,4.67
"21","21","V.S.O.J.","Revolution Brewing","English Barleywine",14,325,4.69
"22","22","Double Barrel V.S.O.J.","Revolution Brewing","English Barleywine",16.8,111,4.73
"23","23","A Deal With The Devil - Double Oak-Aged","Anchorage Brewing Company","American Barleywine",17,256,4.69
"24","24","Oude Fermier","Side Project Brewing","Saison",7,147,4.71
"25","25","Clover","Hill Farmstead Brewery","Saison",6.5,225,4.69
"26","26","Chemtrailmix - Rye Barrel","3 Floyds Brewing Co.","Russian Imperial Stout",15,270,4.68
"27","27","Monster Tones","Modern Times Beer","American Imperial Stout",13,107,4.72
"28","28","Julius","Tree House Brewing Company","New England IPA",6.8,5073,4.65
"29","29","Fou' Foune","Brasserie Cantillon","Fruit Lambic",5.5,3236,4.65
"30","30","Very Green","Tree House Brewing Company","New England IPA",8.3,1677,4.65
"31","31","Assassin","Toppling Goliath Brewing Company","American Imperial Stout",12,1512,4.65
"32","32","Very GGGreennn","Tree House Brewing Company","New England IPA",8.3,490,4.66
"33","33","Juice Machine","Tree House Brewing Company","New England IPA",8.2,1351,4.65
"34","34","Anabasis","Side Project Brewing","American Barleywine",14,283,4.67
"35","35","It Was All A Dream","J. Wakefield Brewing","American Imperial Stout",17,203,4.68
"36","36","Pliny The Elder","Russian River Brewing Company","Imperial IPA",8,15683,4.64
"37","37","CBS (Canadian Breakfast Stout)","Founders Brewing Company","American Imperial Stout",11.7,6783,4.64
