"","rank","name","brewery","type","ABV","num_ratings","avg_rating"
"1","1","Breakfast Stout","Founders Brewing Company","Oatmeal Stout",8.3,17944,4.51
"2","2","90 Minute IPA","Dogfish Head Craft Brewery","Imperial IPA",9,16524,4.27
"3","3","Two Hearted IPA","Bell's Brewery - Eccentric Café & General Store","American IPA",7,15821,4.27
"4","4","Pliny The Elder","Russian River Brewing Company","Imperial IPA",8,15683,4.64
"5","5","Heady Topper","The Alchemist","Imperial IPA",8,15270,4.71
"6","6","Sculpin","Ballast Point Brewing Company","American IPA",7,14655,4.38
"7","7","KBS","Founders Brewing Company","American Imperial Stout",12,14162,4.6
"8","8","Hopslam Ale","Bell's Brewery - Eccentric Café & General Store","Imperial IPA",10,14023,4.45
"9","9","Bourbon County Brand Stout","Goose Island Beer Co.","American Imperial Stout",14.3,13435,4.6
"10","10","Old Rasputin","North Coast Brewing Co.","Russian Imperial Stout",9,13103,4.3
"11","11","Pale Ale","Sierra Nevada Brewing Co.","American Pale Ale",5.6,12275,4.03
"12","12","60 Minute IPA","Dogfish Head Craft Brewery","American IPA",6,12255,4.08
"13","13","Stone IPA","Stone Brewing","American IPA",6.9,11815,4.2
"14","14","Torpedo Extra IPA","Sierra Nevada Brewing Co.","American IPA",7.2,11710,4.15
"15","15","Zombie Dust","3 Floyds Brewing Co.","American Pale Ale",6.5,11441,4.57
"16","16","Enjoy By IPA","Stone Brewing","Imperial IPA",9.4,11207,4.41
"17","17","Arrogant Bastard Ale","Arrogant Consortia","American Strong Ale",7.2,11186,4.14
"18","18","Ruination IPA","Stone Brewing","Imperial IPA",8.2,10970,4.29
"19","19","Celebration IPA","Sierra Nevada Brewing Co.","American IPA",6.8,10958,4.15
"20","20","La Fin Du Monde","Unibroue","Tripel",9,10731,4.32
"21","21","Lagunitas Sucks","Lagunitas Brewing Company","Imperial IPA",7.85,10520,4.32
"22","22","Abt 12","Brouwerij St. Bernardus NV","Quadrupel (Quad)",10,10339,4.47
"23","23","Ten FIDY","Oskar Blues Grill & Brew","American Imperial Stout",10.5,10297,4.38
"24","24","Trappistes Rochefort 10","Brasserie de Rochefort","Quadrupel (Quad)",11.3,9990,4.5
"25","25","Samuel Adams Boston Lager","Boston Beer Company (Samuel Adams)","Vienna Lager",5,9959,3.73
"26","26","IPA","Lagunitas Brewing Company","American IPA",6.2,9649,3.89
"27","27","A Little Sumpin' Sumpin' Ale","Lagunitas Brewing Company","American IPA",7.5,9610,4.2
"28","28","Weihenstephaner Hefeweissbier","Bayerische Staatsbrauerei Weihenstephan","Hefeweizen",5.4,9232,4.41
"29","29","Jai Alai IPA","Cigar City Brewing","American IPA",7.5,9183,4.27
"30","30","Centennial IPA","Founders Brewing Company","American IPA",7.2,8928,4.12
"31","31","Backwoods Bastard","Founders Brewing Company","Scotch Ale / Wee Heavy",11.2,8927,4.35
"32","32","Nugget Nectar","Tröegs Brewing Company","Imperial Red Ale",7.5,8880,4.32
"33","33","120 Minute IPA","Dogfish Head Craft Brewery","Imperial IPA",18,8844,4.12
"34","34","Guinness Draught","Guinness Ltd.","Irish Dry Stout",4.2,8774,3.6
"35","35","Duvel","Brouwerij Duvel Moortgat NV","Belgian Pale Strong Ale",8.5,8525,4.25
"36","36","Imperial Russian Stout","Stone Brewing","Russian Imperial Stout",10.6,8493,4.33
"37","37","Bleue (Blue)","Bières de Chimay","Belgian Dark Strong Ale",9,8367,4.3
"38","38","Samuel Adams Octoberfest","Boston Beer Company (Samuel Adams)","Märzen",5.3,8231,3.67
"39","39","Dirty Bastard","Founders Brewing Company","Scotch Ale / Wee Heavy",8.5,8202,4.05
"40","40","Dead Guy Ale","Rogue Ales","Maibock",6.8,8129,3.94
"41","41","West Coast IPA","Green Flash Brewing Co.","American IPA",7,8095,4.22
"42","42","Imperial Stout","Founders Brewing Company","Russian Imperial Stout",10.5,8073,4.36
"43","43","Racer 5","Bear Republic Brewing Co.","American IPA",7.5,8052,4.18
"44","44","Porter","Founders Brewing Company","Robust Porter",6.5,8051,4.25
"45","45","All Day IPA","Founders Brewing Company","American IPA",4.7,8023,3.87
"46","46","Pumking","Southern Tier Brewing Company","Pumpkin Beer",8.6,7919,4.05
