"","rank","name","brewery","type","ABV","num_ratings","avg_rating"
"1","1","Budweiser Select 55","Anheuser-Busch","Light Lager",2.4,630,1.65
"2","2","Natural Light","Anheuser-Busch","Light Lager",4.2,2394,1.76
"3","3","Sharp's","Miller Brewing Co.","Low-Alcohol Beer",0.4,174,1.72
"4","4","Keystone Light","Coors Brewing Company (Molson-Coors)","Light Lager",4.1,2194,1.84
"5","5","Beer 30 Light","Melanie Brewing Company","Light Lager",4,105,1.66
"6","6","Natural Ice","Anheuser-Busch","American Adjunct Lager",5.9,1589,1.85
"7","7","Miller 64","Miller Brewing Co.","Light Lager",2.8,841,1.84
"8","8","Milwaukee's Best Light","Miller Brewing Co.","Light Lager",4.2,738,1.84
"9","9","Bud Light","Anheuser-Busch","Light Lager",4.2,6662,1.88
"10","10","Milwaukee's Best","Miller Brewing Co.","American Adjunct Lager",4.8,845,1.89
"11","11","Busch Ice","Anheuser-Busch","American Adjunct Lager",5.9,368,1.87
"12","12","Bud Ice","Anheuser-Busch","American Adjunct Lager",5.5,1276,1.94
"13","13","Busch Light","Anheuser-Busch","Light Lager",4.1,1865,1.95
"14","14","Michelob Ultra","Anheuser-Busch","Light Lager",4.2,2753,1.96
"15","15","Bud Light & Clamato Chelada","Anheuser-Busch","Fruit and Field Beer",4.2,461,1.93
"16","16","Corona Light","Grupo Modelo S.A. de C.V.","Light Lager",4.1,2187,1.98
"17","17","Keystone Lager","Molson Coors Canada","American Adjunct Lager",4.9,148,1.9
"18","18","Carlton Cold","Carlton & United Breweries, Ltd.","Light Lager",3.5,51,1.66
"19","19","Sleeman Clear","Sleeman Breweries Ltd.","Light Lager",4,90,1.85
"20","20","Red Dog","Miller Brewing Co.","American Adjunct Lager",4.8,802,2.04
"21","21","Coors Light","Coors Brewing Company (Molson-Coors)","Light Lager",4.2,5742,2.06
"22","22","Keystone Ice","Molson Coors Canada","American Adjunct Lager",5.5,53,1.72
"23","23","O'Doul's","Anheuser-Busch","Low-Alcohol Beer",0.5,668,2.04
"24","24","Budweiser Select","Anheuser-Busch","Light Lager",4.3,1362,2.08
"25","25","Busch Beer","Anheuser-Busch","American Adjunct Lager",4.3,1931,2.09
"26","26","Icehouse","Miller Brewing Co.","American Adjunct Lager",5.5,1370,2.09
"27","27","Hurricane Malt Liquor","Anheuser-Busch","Malt Liquor",6,259,2.04
"28","28","King Cobra Premium Malt Liquor","Anheuser-Busch","Malt Liquor",6,595,2.12
"29","29","Bud Light Lime-A-Rita","Anheuser-Busch","Malt Liquor",8,761,2.13
"30","30","Olde English 800","Miller Brewing Co.","Malt Liquor",5.9,1168,2.14
"31","31","Milwaukee's Best Ice","Miller Brewing Co.","American Adjunct Lager",5.9,766,2.15
"32","32","Bud Light Lime","Anheuser-Busch","Light Lager",4.2,2732,2.19
"33","33","Budweiser & Clamato Chelada","Anheuser-Busch","Fruit and Field Beer",5,363,2.16
"34","34","Michelob Light","Anheuser-Busch","Light Lager",4.3,922,2.2
"35","35","Lucky Lager","Labatt Brewing Company Ltd.","American Adjunct Lager",5,121,2.08
"36","36","Old Milwaukee Ice","Pabst Brewing Company","American Adjunct Lager",5.9,91,2.06
"37","37","Miller Lite","Miller Brewing Co.","Light Lager",4.17,5143,2.24
"38","38","Bud Light Platinum","Anheuser-Busch","American Adjunct Lager",6,2015,2.25
"39","39","Coors Light Iced T","Coors Brewing Company (Molson-Coors)","American Adjunct Lager",4,55,1.97
"40","40","Stroh's Light","Pabst Brewing Company","Light Lager",3.82,102,2.11
"41","41","Colt 45 Malt Liquor","Pabst Brewing Company","Malt Liquor",5.61,995,2.28
"42","42","Amsterdam Maximator","Grolsch Bierbrouwerij N.V.","Doppelbock",11.6,46,1.95
"43","43","Labatt Blue Light","Labatt Brewing Company Ltd.","Light Lager",4,714,2.28
"44","44","St. Ides High Gravity Malt Liquor","Saint Ides Brewing Company","Malt Liquor",8.2,220,2.23
"45","45","Old Milwaukee","Sleeman Breweries Ltd.","American Adjunct Lager",5,99,2.15
"46","46","Jaguar High Gravity Lager","Melanie Brewing Company","Malt Liquor",8.3,22,1.6
"47","47","Beck's Light","Brauerei Beck & Co.","Light Lager",NA,154,2.22
"48","48","Bud Light Lime Straw-Ber-Rita","Anheuser-Busch","Malt Liquor",8,480,2.29
"49","49","Miller Genuine Draft","Miller Brewing Co.","American Adjunct Lager",4.66,2701,2.32
"50","50","Tecate Light","Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.","Light Lager",3.9,347,2.31
"51","51","Coors Non-Alcoholic","Coors Brewing Company (Molson-Coors)","Low-Alcohol Beer",0.5,98,2.2
"52","52","Kirin Light Beer","Kirin Brewery Company, Limited","Light Lager",3.2,229,2.3
"53","53","Carlton Draught","Carlton & United Breweries, Ltd.","American Adjunct Lager",4.6,104,2.22
"54","54","O'Doul's Amber","Anheuser-Busch","Low-Alcohol Beer",0.5,293,2.32
"55","55","Corona Extra","Grupo Modelo S.A. de C.V.","American Adjunct Lager",4.6,5630,2.37
"56","56","Budweiser","Anheuser-Busch","American Adjunct Lager",5,6981,2.38
"57","57","Pacifico Light","Grupo Modelo S.A. de C.V.","American Adjunct Lager",4.5,59,2.13
"58","58","Camo Silver Ice","Camo Brewing Company","Malt Liquor",10.6,73,2.18
"59","59","Heineken Premium Light Lager","Heineken Nederland B.V.","Light Lager",3.3,1062,2.38
"60","60","Modelo Light","Grupo Modelo S.A. de C.V.","Light Lager",2.9,79,2.21
"61","61","Desperados","Heineken Nederland B.V.","Malt Liquor",5.9,298,2.35
"62","62","Boxer Lager","Minhas Craft Brewery","American Adjunct Lager",5,135,2.29
"63","63","Busch NA","Anheuser-Busch","Low-Alcohol Beer",0.5,117,2.28
"64","64","Black Label Beer","Pabst Brewing Company","American Adjunct Lager",4,176,2.33
"65","65","Michelob Ultra Amber","Anheuser-Busch","Light Lager",4,398,2.38
"66","66","Kirin Lager","Kirin Brewery Company, Limited","Japanese Rice Lager",4.9,313,2.37
"67","67","Crown Lager","Crown Beverages","American Adjunct Lager",4.9,87,2.25
"68","68","Stack 101 High Gravity Smooth Lager","United Brands Company","Malt Liquor",9.9,66,2.2
"69","69","Pale Ale","New Planet Beer Company","American Pale Ale",6.4,50,2.13
"70","70","Old Milwaukee Beer","Pabst Brewing Company","American Adjunct Lager",4.6,907,2.41
